symbol,entry_time,exit_time,qty,entry_price,exit_price,realized_pnl,holding_seconds
BANKNIFTY22112443000CE,2022-11-24 12:56:37,2022-11-24 13:03:14,1.0,38.85,36.15,-2.700000000000003,397.0
BANKNIFTY22112442900PE,2022-11-24 13:03:14,2022-11-24 14:05:03,1.0,40.7,25.6,-15.100000000000001,3709.0
BANKNIFTY22112442900CE,2022-11-24 13:03:14,2022-11-24 14:05:03,1.0,84.1,72.8,-11.299999999999997,3709.0
NIFTY22112418350CE,2022-11-24 13:10:41,2022-11-24 13:10:56,1.0,36.55,37.1,0.5500000000000043,15.0
NIFTY22112418350PE,2022-11-24 13:10:41,2022-11-24 13:10:56,1.0,11.4,11.3,-0.09999999999999964,15.0
NIFTY22112418400CE,2022-11-24 13:10:56,2022-11-24 13:11:03,1.0,9.4,9.5,0.09999999999999964,7.0
NIFTY22112418400PE,2022-11-24 13:10:56,2022-11-24 13:11:03,1.0,33.75,33.1,-0.6499999999999986,7.0
NIFTY22112418350CE,2022-11-24 13:11:03,2022-11-24 13:11:04,1.0,37.4,37.6,0.20000000000000284,1.0
NIFTY22112418350PE,2022-11-24 13:11:03,2022-11-24 13:11:04,1.0,11.1,11.1,0.0,1.0
NIFTY22112418400PE,2022-11-24 13:11:04,2022-11-24 13:11:07,1.0,33.1,33.4,0.29999999999999716,3.0
NIFTY22112418400CE,2022-11-24 13:11:04,2022-11-24 13:11:07,1.0,9.55,9.5,-0.05000000000000071,3.0
NIFTY22112418350PE,2022-11-24 13:11:07,2022-11-24 13:11:08,1.0,11.25,11.1,-0.15000000000000036,1.0
NIFTY22112418350CE,2022-11-24 13:11:07,2022-11-24 13:11:08,1.0,37.4,37.45,0.05000000000000426,1.0
NIFTY22112418400CE,2022-11-24 13:11:08,2022-11-24 13:19:06,1.0,9.5,9.0,-0.5,478.0
NIFTY22112418400PE,2022-11-24 13:11:08,2022-11-24 13:19:06,1.0,33.0,35.0,2.0,478.0
NIFTY22112418350CE,2022-11-24 13:19:06,2022-11-24 13:19:08,1.0,35.7,35.1,-0.6000000000000014,2.0
NIFTY22112418350PE,2022-11-24 13:19:06,2022-11-24 13:19:08,1.0,11.85,12.1,0.25,2.0
NIFTY22112418400CE,2022-11-24 13:19:08,2022-11-24 13:19:11,1.0,8.65,8.75,0.09999999999999964,3.0
NIFTY22112418400PE,2022-11-24 13:19:08,2022-11-24 13:19:11,1.0,35.35,35.1,-0.25,3.0
NIFTY22112418350CE,2022-11-24 13:19:11,2022-11-24 13:19:55,1.0,35.3,37.2,1.9000000000000057,44.0
NIFTY22112418350PE,2022-11-24 13:19:11,2022-11-24 13:19:55,1.0,11.9,11.45,-0.45000000000000107,44.0
NIFTY22112418400PE,2022-11-24 13:19:55,2022-11-24 13:19:59,1.0,34.0,33.6,-0.3999999999999986,4.0
NIFTY22112418400CE,2022-11-24 13:19:55,2022-11-24 13:19:59,1.0,9.45,9.4,-0.049999999999998934,4.0
NIFTY22112418350CE,2022-11-24 13:19:59,2022-11-24 13:20:00,1.0,37.35,37.35,0.0,1.0
NIFTY22112418350PE,2022-11-24 13:19:59,2022-11-24 13:20:00,1.0,11.2,11.35,0.15000000000000036,1.0
NIFTY22112418400CE,2022-11-24 13:20:00,2022-11-24 13:20:04,1.0,9.4,9.0,-0.40000000000000036,4.0
NIFTY22112418400PE,2022-11-24 13:20:00,2022-11-24 13:20:04,1.0,33.8,34.2,0.4000000000000057,4.0
NIFTY22112418350PE,2022-11-24 13:20:04,2022-11-24 13:20:05,1.0,11.55,11.55,0.0,1.0
NIFTY22112418350CE,2022-11-24 13:20:04,2022-11-24 13:20:05,1.0,36.05,35.8,-0.25,1.0
NIFTY22112418400PE,2022-11-24 13:20:05,2022-11-24 13:20:06,1.0,34.6,34.6,0.0,1.0
NIFTY22112418400CE,2022-11-24 13:20:05,2022-11-24 13:20:06,1.0,8.8,8.8,0.0,1.0
NIFTY22112418350PE,2022-11-24 13:20:06,2022-11-24 13:20:31,1.0,11.65,11.15,-0.5,25.0
NIFTY22112418350CE,2022-11-24 13:20:06,2022-11-24 13:20:31,1.0,35.8,36.95,1.1500000000000057,25.0
NIFTY22112418400CE,2022-11-24 13:20:31,2022-11-24 13:20:41,1.0,9.4,9.35,-0.05000000000000071,10.0
NIFTY22112418400PE,2022-11-24 13:20:31,2022-11-24 13:20:41,1.0,33.15,33.2,0.05000000000000426,10.0
NIFTY22112418350CE,2022-11-24 13:20:41,2022-11-24 13:20:43,1.0,37.25,37.55,0.29999999999999716,2.0
NIFTY22112418350PE,2022-11-24 13:20:41,2022-11-24 13:20:43,1.0,11.05,11.0,-0.05000000000000071,2.0
NIFTY22112418400PE,2022-11-24 13:20:43,2022-11-24 13:23:00,1.0,33.05,33.45,0.4000000000000057,137.0
NIFTY22112418400CE,2022-11-24 13:20:43,2022-11-24 13:23:00,1.0,9.5,9.25,-0.25,137.0
NIFTY22112418350PE,2022-11-24 13:23:00,2022-11-24 13:23:01,1.0,11.0,10.95,-0.05000000000000071,1.0
NIFTY22112418350CE,2022-11-24 13:23:00,2022-11-24 13:23:01,1.0,36.85,36.85,0.0,1.0
NIFTY22112418400PE,2022-11-24 13:23:01,2022-11-24 13:23:03,1.0,33.3,33.7,0.4000000000000057,2.0
NIFTY22112418400CE,2022-11-24 13:23:01,2022-11-24 13:23:03,1.0,9.2,9.0,-0.1999999999999993,2.0
NIFTY22112418350PE,2022-11-24 13:23:03,2022-11-24 13:23:05,1.0,11.05,11.1,0.049999999999998934,2.0
NIFTY22112418350CE,2022-11-24 13:23:03,2022-11-24 13:23:05,1.0,36.4,36.5,0.10000000000000142,2.0
NIFTY22112418400PE,2022-11-24 13:23:05,2022-11-24 13:23:06,1.0,33.8,34.2,0.4000000000000057,1.0
NIFTY22112418400CE,2022-11-24 13:23:05,2022-11-24 13:23:06,1.0,9.1,9.0,-0.09999999999999964,1.0
NIFTY22112418350PE,2022-11-24 13:23:06,2022-11-24 13:23:10,1.0,11.3,11.25,-0.05000000000000071,4.0
NIFTY22112418350CE,2022-11-24 13:23:06,2022-11-24 13:23:10,1.0,36.15,36.4,0.25,4.0
NIFTY22112418400PE,2022-11-24 13:23:10,2022-11-24 13:23:16,1.0,33.65,33.75,0.10000000000000142,6.0
NIFTY22112418400CE,2022-11-24 13:23:10,2022-11-24 13:23:16,1.0,9.05,8.95,-0.10000000000000142,6.0
NIFTY22112418350CE,2022-11-24 13:23:16,2022-11-24 13:23:19,1.0,36.35,36.05,-0.30000000000000426,3.0
NIFTY22112418350PE,2022-11-24 13:23:16,2022-11-24 13:23:19,1.0,11.25,11.45,0.1999999999999993,3.0
NIFTY22112418400CE,2022-11-24 13:23:19,2022-11-24 13:23:33,1.0,8.9,8.95,0.049999999999998934,14.0
NIFTY22112418400PE,2022-11-24 13:23:19,2022-11-24 13:23:33,1.0,34.15,34.15,0.0,14.0
NIFTY22112418350PE,2022-11-24 13:23:33,2022-11-24 13:23:34,1.0,11.45,11.45,0.0,1.0
NIFTY22112418350CE,2022-11-24 13:23:33,2022-11-24 13:23:34,1.0,36.0,36.0,0.0,1.0
NIFTY22112418400CE,2022-11-24 13:23:34,2022-11-24 13:23:39,1.0,8.85,8.7,-0.15000000000000036,5.0
NIFTY22112418400PE,2022-11-24 13:23:34,2022-11-24 13:23:39,1.0,34.4,34.85,0.45000000000000284,5.0
NIFTY22112418350PE,2022-11-24 13:23:39,2022-11-24 13:23:42,1.0,11.7,11.75,0.05000000000000071,3.0
NIFTY22112418350CE,2022-11-24 13:23:39,2022-11-24 13:23:42,1.0,35.35,35.3,-0.05000000000000426,3.0
NIFTY22112418400CE,2022-11-24 13:23:42,2022-11-24 13:23:44,1.0,8.65,8.55,-0.09999999999999964,2.0
NIFTY22112418400PE,2022-11-24 13:23:42,2022-11-24 13:23:44,1.0,34.9,34.9,0.0,2.0
NIFTY22112418350PE,2022-11-24 13:23:44,2022-11-24 13:32:13,1.0,11.8,9.65,-2.1500000000000004,509.0
