timestamp,symbol,qty,price
2022-11-01 10:26:08,BANKNIFTY22110341800CE,-1.0,213.1
2022-11-01 10:26:08,BANKNIFTY22110341700CE,1.0,257.5
2022-11-01 10:26:08,BANKNIFTY22110341800PE,-1.0,401.2
2022-11-01 10:26:11,BANKNIFTY22110341700PE,-1.0,346.05
2022-11-01 10:26:11,BANKNIFTY22110341800CE,1.0,212.85
2022-11-01 10:26:11,BANKNIFTY22110341700CE,-1.0,257.9
2022-11-01 10:26:11,BANKNIFTY22110341800PE,1.0,401.9
2022-11-01 10:26:15,BANKNIFTY22110341700PE,1.0,347.7
2022-11-01 10:26:15,BANKNIFTY22110341800CE,-1.0,212.15
2022-11-01 10:26:15,BANKNIFTY22110341700CE,1.0,256.3
2022-11-01 10:26:15,BANKNIFTY22110341800PE,-1.0,402.0
2022-11-01 10:29:10,BANKNIFTY22110341700PE,-1.0,343.1
2022-11-01 10:29:10,BANKNIFTY22110341800CE,1.0,214.15
2022-11-01 10:29:10,BANKNIFTY22110341700CE,-1.0,259.0
2022-11-01 10:29:10,BANKNIFTY22110341800PE,1.0,398.35
2022-11-01 10:30:05,BANKNIFTY22110341700PE,1.0,346.0
2022-11-01 10:30:05,BANKNIFTY22110341800CE,-1.0,211.0
2022-11-01 10:30:05,BANKNIFTY22110341700CE,1.0,255.75
2022-11-01 10:30:05,BANKNIFTY22110341800PE,-1.0,401.85
2022-11-01 10:30:36,BANKNIFTY22110341700PE,-1.0,343.0
2022-11-01 10:30:36,BANKNIFTY22110341800CE,1.0,215.3
2022-11-01 10:30:36,BANKNIFTY22110341700CE,-1.0,260.2
2022-11-01 10:30:36,BANKNIFTY22110341800PE,1.0,398.0
2022-11-01 10:30:59,BANKNIFTY22110341700PE,1.0,347.7
2022-11-01 10:30:59,BANKNIFTY22110341800CE,-1.0,211.2
2022-11-01 10:30:59,BANKNIFTY22110341700CE,1.0,255.55
2022-11-01 10:30:59,BANKNIFTY22110341800PE,-1.0,403.75
2022-11-01 10:37:03,BANKNIFTY22110341700PE,-1.0,344.9
2022-11-01 10:37:03,BANKNIFTY22110341800CE,1.0,210.5
2022-11-01 10:37:03,BANKNIFTY22110341700CE,-1.0,255.0
2022-11-01 10:37:03,BANKNIFTY22110341800PE,1.0,400.4
2022-11-01 10:37:14,BANKNIFTY22110341700PE,1.0,348.35
2022-11-01 10:37:14,BANKNIFTY22110341800CE,-1.0,208.25
2022-11-01 10:37:14,BANKNIFTY22110341700CE,1.0,252.3
2022-11-01 10:37:14,BANKNIFTY22110341800PE,-1.0,404.8
2022-11-01 10:40:16,BANKNIFTY22110341700PE,-1.0,344.9
2022-11-01 10:40:16,BANKNIFTY22110341800CE,1.0,211.6
2022-11-01 10:40:16,BANKNIFTY22110341700CE,-1.0,256.75
2022-11-01 10:40:16,BANKNIFTY22110341800PE,1.0,400.4
2022-11-01 11:57:44,BANKNIFTY22110341700PE,1.0,335.7
2022-11-01 11:57:44,BANKNIFTY22110341800CE,-1.0,199.85
2022-11-01 11:57:44,BANKNIFTY22110341700CE,1.0,244.85
2022-11-01 11:57:44,BANKNIFTY22110341800PE,-1.0,391.0
2022-11-01 11:57:53,BANKNIFTY22110341700PE,-1.0,334.65
2022-11-01 11:57:53,BANKNIFTY22110341800CE,1.0,201.45
2022-11-01 11:57:53,BANKNIFTY22110341700CE,-1.0,246.65
2022-11-01 11:57:53,BANKNIFTY22110341800PE,1.0,390.0
2022-11-01 11:57:55,BANKNIFTY22110341700PE,1.0,335.1
2022-11-01 11:57:55,BANKNIFTY22110341800CE,-1.0,200.35
2022-11-01 11:57:55,BANKNIFTY22110341700CE,1.0,245.6
2022-11-01 11:57:55,BANKNIFTY22110341800PE,-1.0,390.0
2022-11-01 11:57:57,BANKNIFTY22110341700PE,-1.0,334.95
2022-11-01 11:57:57,BANKNIFTY22110341800CE,1.0,200.65
2022-11-01 11:57:57,BANKNIFTY22110341700CE,-1.0,245.75
2022-11-01 11:57:57,BANKNIFTY22110341800PE,1.0,389.85
2022-11-01 11:58:02,BANKNIFTY22110341700PE,1.0,335.85
2022-11-01 11:58:02,BANKNIFTY22110341800CE,-1.0,200.4
2022-11-01 11:58:02,BANKNIFTY22110341700CE,1.0,244.95
2022-11-01 11:58:02,BANKNIFTY22110341800PE,-1.0,391.7
2022-11-01 11:58:12,BANKNIFTY22110341700PE,-1.0,334.4
2022-11-01 11:58:12,BANKNIFTY22110341800CE,1.0,201.35
2022-11-01 11:58:12,BANKNIFTY22110341700CE,-1.0,246.15
2022-11-01 11:58:12,BANKNIFTY22110341800PE,1.0,390.25
2022-11-01 11:58:13,BANKNIFTY22110341700PE,1.0,333.2
2022-11-01 11:58:13,BANKNIFTY22110341800CE,-1.0,202.1
2022-11-01 11:58:13,BANKNIFTY22110341700CE,1.0,246.15
2022-11-01 11:58:13,BANKNIFTY22110341800PE,-1.0,390.05
2022-11-01 11:58:15,BANKNIFTY22110341700PE,-1.0,333.5
